,1.1 映射,【口误修正】Rg包含于Df,第八版可以看本视频（与第七版差别非常小）,1.1 函数,1.1 函数的几种特性,1.1 反函数 复合函数 初等函数,1.2 数列极限的定义,1.2 收敛数列的性质,反三角函数介绍,1.3 函数极限,1.4 无穷小与无穷大,1.5 极限运算准则（修后）,1.6 极限存在准则 两个重要极限,1.7 无穷小的比较,1.8 函数的连续性与间断点,1.9 例5～例8,1.10 闭区间连续函数的性质2,2.1 导数定义,2.1 常用求导公式举例,2.1 单侧导数,2.1 导数的几何含义,练习题：导数定义 切线 法线,2.1 可导与连续的关系,2.2 求导法则（和差积商）,2.2 反函数的求导法则,复合函数求导法则,复合函数求导（补充）,导数公式表,高阶导数,隐函数求导,参数方程求导,练习：高阶导数 参数方程 隐函数求导,微分的定义,基本微分公式与法则,微分的几何意义,微分在近似计算中的应用,微分中值定理,柯西中值定理,洛必达法则,泰勒公式,函数的单调性,函数的凹凸性和拐点,极值及其求法,函数图形的绘制,曲率,不定积分的定义,积分表,抖肩舞,不定积分的性质,第一类换元积分法,第二类换元积分法,分部积分法,有理函数积分,【五-1】定积分的概念,【五-2】定积分的性质,【五-3】微积分基本公式,【五-4】定积分的换元法,【五-5】定积分的分部积分法,【五-6】无穷限的反常积分,【五-7】无界函数的反常积分,【五-8】伽马函数,【六-1】定积分的应用-元素法,【六-2】定积分应用--求面积,【六-3】定积分应用--求面积（二）,【六-4】定积分应用--求面积极坐标情形,【六-5】定积分应用--旋转体体积,【六-6】定积分应用--平面曲线的弧长,【新】定积分应用--物理学,【七-1】微分方程的基本概念,【七-2】可分离变量的微分方程,【七-3】齐次方程,【七-4】一阶线性微分方程,【七-5】可降阶的高阶微分方程,【七-6】常系数线性齐次微分方程,【七-7】补充证明过程（可略）,【八-1】向量及线性运算,【八-2】空间直角坐标系,【八-3】向量模 两点距离,【八-4】方向角方向余弦,【八-5】数量积,【八-6】向量积,【八-7】平面及其方程,【八-8】平面的一般方程,【八-9】两平面的夹角,【八-10】空间直线及其方程,【八-11】两直线的夹角&直线与平面的夹角,杂例,曲面及其方程,旋转曲面,柱面,二次曲面,空间曲线及其方程,【九-1】多元函数的基本概念--平面点集,【九-2】n维空间,【九-3】多元函数的极限,【九-4】偏导数,【九-6】全微分,【九-7】多元复合函数求导（理论讲解）,【九-8】多元复合函数求导（例子讲解）,【九-9】隐函数求导（一个方程）,【九-10】隐函数求导（方程组）,【9-10】隐函数求导（方程组）例3符号更正,【九-11】一元向量值函数及其导数,【九-12】空间曲线的切线与法平面,【九-13】空间曲面的切平面与法线,【九-14】方向导数,【九-15】梯度,【九-16】方向导数和梯度的解释,【九-17】梯度（例题#1）,【九-18】梯度（例题#2）,【九-19】多元函数的极值,【九-20】数量场向量场,【九-21】多元函数的最值,【九-22】条件极值 拉格朗日乘数法（理论讲解）,【九-23】极值例题,【十-1】二重积分的定义,【十-2】二重积分的性质,【十-3】二重积分的计算（直角坐标系）,【十-4】极坐标介绍1,【十-5】极坐标介绍2,【十-6】二重积分（极坐标）,【十-7】极坐标例题,【十-8】二重积分的换元法,【十-9】三重积分的定义,【十-10】密度均匀&&不均匀的理解,【十-11】三重积分的计算（直角坐标系）,【十-12】例2,【十-13】柱面坐标,【十-14】三重积分球面坐标（插入了新例题 ）,【十-15】三重积分的应用（求曲面的面积）新增加了证明,【十-16】重积分应用（求质心）,【十-17】重积分应用（求转动惯量）,【十-18】重积分应用（求引力）,【十一（1）】对弧长的曲线积分（概念与性质）,【十一（2）】曲线积分的计算,【十一（3）】对坐标的曲线积分（概念和性质）,【十一（4）】对坐标的曲线积分（计算）,【十一（5）】例题,【十一（6）】两类曲线积分的联系,【十一（7）】格林公式的定义和证明,【十一（8）】格林公式的计算,【十一（9）】对面积的曲面积分,【十一（10）】第二类曲面积分的计算及两类曲面积分的关系,【十一（11）】高斯公式 散度 通量,【十二（1）】常数项级数的概念和性质,【十二（2）】正项级数（一）,【十二（3）】正项级数（二）,【十二（4）】交错级数,【十二（5）】任意项级数,【十二（6）】幂级数（1）,【十二（7）】幂级数（2）,【十二（8）】幂级数的运算,【十二（9）】例题2,【十二（10）】函数展成幂级数（1）,【十二（11）】函数展成幂级数（2）,【十二（12）】例题讲解
2023-12-12 23:14,368,2,4,69,104,86,160,104,71,195,57,108,135,110,133,54,46,54,57,28,22,39,21,42,77,42,11,23,69,74,39,46,119,71,33,87,105,69,152,162,54,66,95,67,86,246,101,25,262,772,561,471,437,556,309,556,580,142,252,173,55,130,158,55,49,262,111,54,59,62,123,129,58,49,18,9,7,3,5,7,8,12,6,4,5,3,5,6,4,1,2,5,12,2,19,22,12,11,3,5,2,1,6,5,2,10,2,1,1,1,2,5,2,4,4,10,4,29,6,6,10,1,11,2,1,7,1,6,2,2,1,1,3,2,6,3,2,7,1,5,3,12,8,1,20,5,10,5,1,11,5,2,4,9,2,10
2023-12-12 23:24,340,2,5,67,87,81,156,101,59,186,55,110,127,87,124,53,40,63,61,26,24,37,24,36,78,45,7,21,64,70,31,53,107,63,31,75,98,66,143,145,61,68,87,68,79,234,89,28,257,695,548,449,415,516,291,512,552,130,222,165,49,121,127,64,52,244,99,52,49,59,113,106,60,37,15,9,7,3,5,7,9,16,4,3,2,2,4,5,5,1,3,3,13,2,17,13,12,10,3,6,4,1,3,5,1,7,5,1,1,1,2,3,3,3,3,7,2,27,7,5,15,1,8,5,1,6,1,5,1,1,1,1,1,3,5,3,3,5,1,5,3,9,5,2,18,7,9,7,4,10,4,2,6,8,3,9
2023-12-12 23:35,284,1,6,63,83,65,144,99,50,155,47,100,92,79,106,51,38,47,48,21,24,28,17,39,66,43,5,14,57,51,30,47,97,50,21,78,77,45,138,127,45,57,78,68,68,206,96,21,216,609,470,391,358,478,259,457,514,103,207,164,41,111,127,46,37,232,96,41,39,49,111,87,49,40,13,9,8,3,6,7,7,13,2,3,2,2,3,7,5,1,2,5,8,4,19,17,11,11,1,8,4,1,2,4,2,9,2,1,3,1,2,5,4,5,1,8,2,24,5,9,12,1,6,1,1,2,2,6,2,1,1,1,1,3,1,3,3,4,1,9,4,8,5,2,14,6,12,5,5,10,5,4,5,6,3,9
2023-12-12 23:45,261,3,2,64,80,61,123,79,46,134,38,92,88,65,101,46,38,38,49,18,25,27,20,32,48,41,3,12,50,47,25,39,77,51,21,64,74,36,118,107,37,49,71,59,56,175,86,25,207,546,435,347,305,437,240,423,481,92,182,149,39,110,121,45,32,197,75,33,37,34,87,84,45,39,10,9,9,2,4,8,6,12,1,2,3,3,4,7,2,1,3,2,6,1,16,19,9,10,3,6,1,1,3,5,3,8,5,1,4,1,2,1,2,6,1,5,2,26,4,7,10,1,7,1,1,2,1,6,2,1,1,1,1,2,2,2,4,4,1,7,5,7,6,2,12,5,10,5,2,11,4,2,6,6,2,10
2023-12-12 23:55,240,1,4,63,65,39,118,81,35,117,33,80,77,61,84,46,33,37,44,17,17,30,11,28,46,36,7,11,43,46,21,40,71,46,16,54,73,34,97,98,32,44,66,55,47,141,74,19,185,498,373,302,253,408,211,353,428,92,171,120,36,98,101,43,29,179,71,39,38,31,64,73,44,36,9,11,7,2,3,6,9,7,2,2,3,3,5,5,2,1,3,3,8,1,18,15,10,11,2,6,1,1,3,3,1,6,3,1,3,1,2,1,3,4,2,7,1,21,4,8,9,1,5,3,1,2,1,5,1,1,1,1,1,3,4,1,3,4,1,5,2,10,6,2,12,3,10,4,3,12,2,5,4,4,2,8
2023-12-13 00:06,219,1,2,46,65,42,97,66,36,106,26,60,71,46,66,32,28,35,34,19,14,22,12,25,38,34,6,8,45,35,23,28,61,33,12,46,57,39,74,82,25,42,51,45,54,110,55,12,164,417,291,260,196,310,183,282,325,77,122,94,26,83,88,39,28,142,51,26,32,34,55,67,42,25,7,9,6,1,1,6,7,7,5,2,3,2,3,7,2,1,2,1,10,1,13,12,9,10,1,5,3,1,2,2,1,4,4,1,3,1,2,2,2,4,1,5,3,15,1,6,9,1,2,2,1,2,1,4,1,1,1,1,1,5,3,1,3,3,1,6,1,8,7,3,9,5,8,3,2,10,4,1,5,5,2,6
2023-12-13 00:16,199,1,4,48,55,44,88,63,31,92,25,58,62,40,70,37,19,40,37,18,11,22,8,17,38,29,5,10,31,36,18,17,60,31,12,46,53,31,74,74,22,29,41,38,41,107,40,16,134,362,263,220,179,261,166,251,311,62,110,96,21,67,87,36,21,125,42,25,30,23,58,53,38,22,8,6,4,1,1,6,6,7,2,3,3,1,4,4,3,1,3,1,6,1,13,12,5,10,3,2,1,1,3,2,1,5,3,1,3,1,5,2,2,2,2,5,3,8,2,3,9,1,2,2,1,2,1,2,1,1,1,1,1,4,3,2,2,3,1,7,2,8,4,3,6,4,6,3,3,8,2,1,2,5,2,7
2023-12-13 00:26,171,1,2,40,57,32,78,56,33,80,17,62,51,44,64,26,22,31,22,17,15,19,12,19,35,25,5,9,29,36,13,13,47,26,14,35,46,30,68,57,19,30,36,35,34,91,39,10,112,307,225,183,162,231,134,230,264,52,108,74,23,58,81,29,26,103,47,18,24,26,52,47,33,24,9,6,3,1,2,7,5,5,1,3,3,1,3,5,2,1,3,2,6,1,11,11,3,12,1,1,3,1,2,2,1,4,2,1,4,1,4,1,2,1,1,5,2,10,3,4,10,1,1,1,1,1,1,3,1,2,1,1,1,3,1,1,2,2,1,4,4,6,6,1,9,3,7,1,2,5,2,1,2,4,2,5
2023-12-13 00:36,139,2,4,33,52,28,59,51,25,81,18,49,49,38,46,22,21,30,26,12,14,14,10,17,33,26,4,6,29,35,16,13,38,24,9,34,42,29,57,58,18,22,30,28,24,80,33,6,103,290,188,168,144,184,125,199,235,47,90,77,15,42,64,32,20,93,34,20,13,22,47,40,24,25,6,7,3,1,1,2,5,5,1,3,2,1,1,2,2,1,2,1,3,1,11,11,4,10,2,1,2,1,1,2,1,3,3,1,2,1,1,3,2,1,1,4,1,10,3,3,9,1,3,1,1,1,1,2,1,1,1,1,1,3,1,1,4,1,1,4,5,5,4,1,8,1,3,3,1,5,2,2,1,3,1,5
2023-12-13 00:47,138,2,2,28,42,27,56,42,18,79,16,46,44,35,39,19,16,25,26,7,12,13,9,14,22,24,5,5,24,28,14,16,36,18,10,24,33,22,54,50,15,21,29,26,28,67,21,10,90,263,172,143,140,148,92,182,179,46,74,55,20,41,45,20,18,79,30,13,12,15,42,36,16,17,6,7,3,1,1,3,4,5,1,3,1,1,1,4,2,1,1,1,3,1,8,8,4,7,1,1,1,1,1,3,1,2,2,1,2,1,1,1,3,1,2,3,1,4,5,3,9,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,3,4,5,2,1,7,2,4,3,2,3,1,2,1,4,1,3
